subject,session,run,status,label
122484,122484x20190228x3T,True,complete,antsct-aging_2021-11-5_17:48_WT_PVS
122706,122706x20190116x3T,True,complete,antsct_2021-05-13_WT_PVS
122900,122900x20190108x3T,True,complete,antsct_2021-05-13_WT_PVS
123304,123304x20190123x3T,True,complete,antsct_2021-05-13_WT_PVS
123928,123928x20190123x3T,True,complete,antsct-aging_2021-11-5_17:48_WT_PVS
123935,123935x20190115x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
123953,123953x20190228x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
124004,124004x20190430x3T,True,complete,antsct-aging_2021-11-5_17:48_WT_PVS
124035,124035x20190204x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
124383,124383x20190515x3T,True,complete,antsct-aging_2021-11-5_17:48_WT_PVS
124005,124005x20190618x3T,True,complete,antsct_2021-05-13_WT_PVS
121524,121524x20190618x3T,True,complete,antsct_2021-05-13_WT_PVS
115050,115050x20190619x3T,True,complete,antsct_2021-05-13_WT_PVS
116630,116630x20190625x3T,True,complete,antsct_2021-05-13_WT_PVS
119888,119888x20190701x3T,True,complete,antsct_2021-05-13_WT_PVS
118923,118923x20190701x3T,True,complete,antsct_2021-05-13_WT_PVS
123903,123903x20190709x3T,True,complete,antsct_2021-05-13_WT_PVS
118068,118068x20190710x3T,True,complete,antsct_2021-05-13_WT_PVS
122152,122152x20180503x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
123851,123851x20190410x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
119655,119655x20190716x3T,True,complete,antsct_2021-05-13_WT_PVS
106722x01,106722x01x20190718x3T,True,complete,antsct-aging_2021-11-5_17:48_WT_PVS
106721x01,106721x01x20190718x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
124972,124972x20190723x3T,True,complete,antsct_2021-05-13_WT_PVS
121444,121444x20190730x3T,True,complete,antsct_2021-05-13_WT_PVS
121674,121674x20190731x3T,True,complete,antsct_2021-05-13_WT_PVS
124800,124800x20190808x3T,True,complete,antsct_2021-05-13_WT_PVS
117796,117796x20190813x3T,True,complete,antsct_2021-05-13_WT_PVS
101628x01,101628x01x20190814x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
125111,125111x20190815x3T,True,complete,antsct_2021-05-13_WT_PVS
101066,101066x20190821x3T,True,complete,antsct_2021-05-13_WT_PVS
124868,124868x20190822x3T,True,complete,antsct_2021-05-13_WT_PVS
103907,103907x20190827x3T,True,complete,antsct_2021-05-13_WT_PVS
124288,124288x20190829x3T,True,complete,antsct_2021-05-13_WT_PVS
123768,123768x20190905x3T,True,complete,antsct_2021-05-13_WT_PVS
124516,124516x20190905x3T,True,complete,antsct_2021-05-13_WT_PVS
105733x01,105733x01x20190912x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
105732x01,105732x01x20190912x3T,True,running,antsct-aging_2021-11-5_17:48_WT_PVS
108672,108672x20190918x3T,True,complete,antsct_2021-05-13_WT_PVS
